"played_at";"track.name";"track.id";"name";"artist.id";"featured_artists";"featured_artist_ids";"played";"day"
"2026-09-17T07:37:54.975Z";"Amazing (feat. Melanie Rutherford)";"2oKSARzfxqUNS2wLRa7Rpm";"Royce Da 5'9\"";"6DVipHzYsPlIoA0DW8Gmns";"Melanie Rutherford";"0GGwpRkFx59V8VmkTRIIQy";"2026-09-17 07:37:54.975";"2026-09-17"
"2026-09-17T08:01:00.232Z";"Kick, Push II";"4CkgIRRsKnVXscMtw5XGi1";"Lupe Fiasco";"01QTIT5P1pFP3QnnFSdsJf";;;"2026-09-17 08:01:00.232";"2026-09-17"
"2026-09-17T08:08:00.828Z";"Street Of Dreams";"70X6SFkjCUZ0nRBUGXddTn";"U2";"51Blml2LZPmy7TTiAg47vQ";;;"2026-09-17 08:08:00.828";"2026-09-17"
"2026-09-17T08:11:38.671Z";"Wrecking Ball";"2uH4hNfqHqz9KqligJwQ66";"Lenny Monsou";"1mCVKxQihZkfBjdphoGLT3";;;"2026-09-17 08:11:38.671";"2026-09-17"
"2026-09-17T08:16:33.085Z";"You Know I'm No Good";"71tQVEDx49QVZDvDqzmWdb";"The Rolling Stones";"22bE4uQ6baNwSHPVcDxLCe";;;"2026-09-17 08:16:33.085";"2026-09-17"
"2026-09-17T08:20:09.369Z";"The Rush";"1uhdYhrlIn7zA22ukBeNNH";"Editors";"6e9wIFWhBPHLE9bXK8gtBI";;;"2026-09-17 08:20:09.369";"2026-09-17"
"2026-09-17T08:24:33.659Z";"Fireflies";"1gbPA7apUePF8do9EfUYmq";"Martin Garrix";"60d24wfXkVzDSfLS6hyCjZ";"U2";"51Blml2LZPmy7TTiAg47vQ";"2026-09-17 08:24:33.659";"2026-09-17"
"2026-09-17T08:46:12.160Z";"Song Of The Future";"3xbZa70HOBQpGQcaR3HqW1";"U2";"51Blml2LZPmy7TTiAg47vQ";;;"2026-09-17 08:46:12.16";"2026-09-17"
"2026-09-17T08:49:57.681Z";"Roll On - Bonus Track";"3mjgkuj8wciSefuP9m0RXi";"Eric Clapton";"6PAt558ZEZl0DmdXlnjMgD";"J.J. Cale";"06nsZ3qSOYZ2hPVIMcr1IN";"2026-09-17 08:49:57.681";"2026-09-17"
"2026-09-17T08:53:22.884Z";"Yeah, Yeah, Yeah, Yeah, Yeah";"2VuEb6YN562K3WlWta87zf";"Shane MacGowan";"68lZHeroea1NAuEDsfBUjv";"U2";"51Blml2LZPmy7TTiAg47vQ";"2026-09-17 08:53:22.884";"2026-09-17"
"2026-09-17T08:56:59.526Z";"Good Times // End Times";"59hVDiPRd3uZhZCmk2ZezQ";"Goose";"5tkITWzssc9z9hu7ZEOCXz";;;"2026-09-17 08:56:59.526";"2026-09-17"
"2026-09-17T09:00:16.575Z";"Beaches In Tennessee";"20TOJbuP4XyGBEFbwB8Vbm";"Cage The Elephant";"26T3LtbuGT1Fu9m0eRq5X3";;;"2026-09-17 09:00:16.575";"2026-09-17"
"2026-09-17T10:23:09.691Z";"Baby Kool (Evelyn)";"2uPY68Mxt9CqEc7i3o4BTy";"Nothing But Thieves";"1kDGbuxWknIKx4FlgWxiSp";;;"2026-09-17 10:23:09.691";"2026-09-17"
"2026-09-17T10:27:29.934Z";"Does It Ever Cross Your Mind?";"3mkRtMr2NOfjlk3c5BlX8a";"Brandon Flowers";"18Zv2g2vUcEGqJf6WnjfXN";;;"2026-09-17 10:27:29.934";"2026-09-17"
"2026-09-17T10:32:04.703Z";"Mr Charm";"7FNkY47xx3oKTjr5tk5m8k";"The Rolling Stones";"22bE4uQ6baNwSHPVcDxLCe";;;"2026-09-17 10:32:04.703";"2026-09-17"
"2026-09-17T10:35:39.019Z";"Call It In";"6g5oAr4QtYRYOdWUihyiK4";"Editors";"6e9wIFWhBPHLE9bXK8gtBI";;;"2026-09-17 10:35:39.019";"2026-09-17"
"2026-09-17T10:41:03.601Z";"Magnificent";"6u38x61qv7JBIJD4dqztmm";"U2";"51Blml2LZPmy7TTiAg47vQ";;;"2026-09-17 10:41:03.601";"2026-09-17"
"2026-09-17T10:43:52.860Z";"Bug In The Cake";"0eqW8uWYZD19N46werkSTF";"Violet Grohl";"3PbVZAe3y6cQKBDdG2YASB";;;"2026-09-17 10:43:52.86";"2026-09-17"
"2026-09-17T11:56:37.404Z";"Jealous Lover";"1XNnPznoORAP2t1rFKnBhj";"The Rolling Stones";"22bE4uQ6baNwSHPVcDxLCe";;;"2026-09-17 11:56:37.404";"2026-09-17"
"2026-09-17T13:14:23.469Z";"running away - for a while";"7GjyxfGXudTj3fYt47NbuS";"Dylan Flynn and the Dead Poets";"38RdXLqHcghUbaMAM1EPka";;;"2026-09-17 13:14:23.469";"2026-09-17"
"2026-09-17T13:19:13.159Z";"SILVER APPLE EYES";"6IvrPhGXKrr2iWweWJNWeY";"Kasabian";"11wRdbnoYqRddKBrpHt4Ue";;;"2026-09-17 13:19:13.159";"2026-09-17"
"2026-09-17T13:22:59.087Z";"You’re The Best Thing About Me";"2dhJM2skHC9D41gHj34Kgw";"U2";"51Blml2LZPmy7TTiAg47vQ";;;"2026-09-17 13:22:59.087";"2026-09-17"
"2026-09-17T13:28:35.124Z";"Freaking Out";"6QuY6R1GxeNnZFiMUGbEe1";"Michigander";"0oL26Dn9y761yfJgNb3vfu";;;"2026-09-17 13:28:35.124";"2026-09-17"
